"oid";"name";"description";"sensor";"variabletype";"datatype";"parameter1";"parameter2"
1;"reflectance_zeroth_moment";"The number of relevant spectral pixels spatially within the field, excluding cloud and tree-masked pixels";"GeoEye-1_MS";"s";"integer";"";""
1;"reflectance_zeroth_moment";"The number of relevant spectral pixels spatially within the field, excluding cloud and tree-masked pixels";"QuickBird_MS";"s";"integer";"";""
1;"reflectance_zeroth_moment";"The number of relevant spectral pixels spatially within the field, excluding cloud and tree-masked pixels";"WorldView-2_MS";"s";"integer";"";""
1;"reflectance_zeroth_moment";"The number of relevant spectral pixels spatially within the field, excluding cloud and tree-masked pixels";"WorldView-3_MS";"s";"integer";"";""
2;"number_of_all_pixels";"The number of spectral pixels spatially within the field, including those masked out because of clouds or trees";"GeoEye-1_MS";"s";"integer";"";""
2;"number_of_all_pixels";"The number of spectral pixels spatially within the field, including those masked out because of clouds or trees";"QuickBird_MS";"s";"integer";"";""
2;"number_of_all_pixels";"The number of spectral pixels spatially within the field, including those masked out because of clouds or trees";"WorldView-2_MS";"s";"integer";"";""
2;"number_of_all_pixels";"The number of spectral pixels spatially within the field, including those masked out because of clouds or trees";"WorldView-3_MS";"s";"integer";"";""
3;"ndvi";"Average of NDVI score over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
3;"ndvi";"Average of NDVI score over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
3;"ndvi";"Average of NDVI score over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
3;"ndvi";"Average of NDVI score over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
4;"sd_ndvi";"Standard deviation of NDVI values over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
4;"sd_ndvi";"Standard deviation of NDVI values over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
4;"sd_ndvi";"Standard deviation of NDVI values over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
4;"sd_ndvi";"Standard deviation of NDVI values over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
5;"ndvi_green";"Average of NDVI-green score over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
5;"ndvi_green";"Average of NDVI-green score over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
5;"ndvi_green";"Average of NDVI-green score over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
5;"ndvi_green";"Average of NDVI-green score over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
6;"sd_ndvi_green";"Standard deviation of NDVI values over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
6;"sd_ndvi_green";"Standard deviation of NDVI values over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
6;"sd_ndvi_green";"Standard deviation of NDVI values over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
6;"sd_ndvi_green";"Standard deviation of NDVI values over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
7;"evi";"Average of EVI score over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
7;"evi";"Average of EVI score over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
7;"evi";"Average of EVI score over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
7;"evi";"Average of EVI score over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
8;"sd_evi";"Standard deviation of EVI values over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
8;"sd_evi";"Standard deviation of EVI values over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
8;"sd_evi";"Standard deviation of EVI values over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
8;"sd_evi";"Standard deviation of EVI values over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
9;"tcari";"Average of TCARI score over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
9;"tcari";"Average of TCARI score over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
10;"sd_tcari";"Standard deviation of TCARI values over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
10;"sd_tcari";"Standard deviation of TCARI values over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
11;"nir_r";"Average of NIR-R score over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
11;"nir_r";"Average of NIR-R score over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
11;"nir_r";"Average of NIR-R score over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
11;"nir_r";"Average of NIR-R score over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
12;"sd_nir_r";"Standard deviation of NIR-R values over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
12;"sd_nir_r";"Standard deviation of NIR-R values over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
12;"sd_nir_r";"Standard deviation of NIR-R values over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
12;"sd_nir_r";"Standard deviation of NIR-R values over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
13;"sarvi";"Average of SARVI score over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
13;"sarvi";"Average of SARVI score over all relevant, within-field pixels";"QuickBird_MS";"s";"float";"";""
13;"sarvi";"Average of SARVI score over all relevant, within-field pixels";"WorldView-2_MS";"s";"float";"";""
13;"sarvi";"Average of SARVI score over all relevant, within-field pixels";"WorldView-3_MS";"s";"float";"";""
14;"sd_sarvi";"Standard deviation of SARVI values over all relevant, within-field pixels";"GeoEye-1_MS";"s";"float";"";""
